2021-12-13 15:12:845 INFO  SelectNationalityPage :34 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (30f85b5208505d20c65a618039874b7d)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 15:12:42 INFO  ReasonForTravelPage :31 - Clicking on reason for visit: Work, academic visit or business[[[ChromeDriver: chrome on WINDOWS (30f85b5208505d20c65a618039874b7d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (30f85b5208505d20c65a618039874b7d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (30f85b5208505d20c65a618039874b7d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (30f85b5208505d20c65a618039874b7d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (30f85b5208505d20c65a618039874b7d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (30f85b5208505d20c65a618039874b7d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (30f85b5208505d20c65a618039874b7d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (30f85b5208505d20c65a618039874b7d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (30f85b5208505d20c65a618039874b7d)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-13 15:12:398 INFO  ReasonForTravelPage :39 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (30f85b5208505d20c65a618039874b7d)] -> xpath: //button[text()='Continue']]
2021-12-13 15:12:128 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-13 15:12:201 INFO  StartPage :29 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (ce4824fe9e49b42d9bb2c75306d7cde0)] -> xpath: //a[normalize-space()='Start now']]
2021-12-13 15:12:585 INFO  SelectNationalityPage :29 - Clicking on reason for visit: Colombia[[ChromeDriver: chrome on WINDOWS (ce4824fe9e49b42d9bb2c75306d7cde0)] -> xpath: //select[@id='response']]
2021-12-13 15:12:955 INFO  SelectNationalityPage :34 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (ce4824fe9e49b42d9bb2c75306d7cde0)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 15:12:301 INFO  ReasonForTravelPage :31 - Clicking on reason for visit: Join partner or family for a long stay[[[ChromeDriver: chrome on WINDOWS (ce4824fe9e49b42d9bb2c75306d7cde0)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (ce4824fe9e49b42d9bb2c75306d7cde0)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (ce4824fe9e49b42d9bb2c75306d7cde0)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (ce4824fe9e49b42d9bb2c75306d7cde0)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (ce4824fe9e49b42d9bb2c75306d7cde0)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (ce4824fe9e49b42d9bb2c75306d7cde0)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (ce4824fe9e49b42d9bb2c75306d7cde0)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (ce4824fe9e49b42d9bb2c75306d7cde0)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (ce4824fe9e49b42d9bb2c75306d7cde0)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-13 15:12:20 INFO  ReasonForTravelPage :39 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (ce4824fe9e49b42d9bb2c75306d7cde0)] -> xpath: //button[text()='Continue']]
2021-12-13 15:12:229 INFO  FamilyImmigrationStatusPage :33 - Clicking on immigration status: Yes[[[ChromeDriver: chrome on WINDOWS (ce4824fe9e49b42d9bb2c75306d7cde0)] -> xpath: //div[@class='gem-c-radio govuk-radios__item']//label], [[ChromeDriver: chrome on WINDOWS (ce4824fe9e49b42d9bb2c75306d7cde0)] -> xpath: //div[@class='gem-c-radio govuk-radios__item']//label]]
2021-12-13 15:12:806 INFO  FamilyImmigrationStatusPage :40 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (ce4824fe9e49b42d9bb2c75306d7cde0)] -> xpath: //button[text()='Continue']]
2021-12-13 15:12:894 INFO  ResultPage :35 - Clicking on reason for visit: You’ll need a visa to join your family or partner in the UKYou’ll need a visa to join your family or partner in the UK
2021-12-13 15:12:811 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-13 15:12:719 INFO  StartPage :29 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (d7d13ec1d81d2eefd0e6c5a8f58d3dcf)] -> xpath: //a[normalize-space()='Start now']]
2021-12-13 15:12:904 INFO  SelectNationalityPage :29 - Clicking on reason for visit: Australia[[ChromeDriver: chrome on WINDOWS (d7d13ec1d81d2eefd0e6c5a8f58d3dcf)] -> xpath: //select[@id='response']]
2021-12-13 15:12:273 INFO  SelectNationalityPage :34 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (d7d13ec1d81d2eefd0e6c5a8f58d3dcf)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 15:12:404 INFO  ReasonForTravelPage :31 - Clicking on reason for visit: Tourism or visiting family and friends[[[ChromeDriver: chrome on WINDOWS (d7d13ec1d81d2eefd0e6c5a8f58d3dcf)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (d7d13ec1d81d2eefd0e6c5a8f58d3dcf)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (d7d13ec1d81d2eefd0e6c5a8f58d3dcf)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (d7d13ec1d81d2eefd0e6c5a8f58d3dcf)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (d7d13ec1d81d2eefd0e6c5a8f58d3dcf)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (d7d13ec1d81d2eefd0e6c5a8f58d3dcf)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (d7d13ec1d81d2eefd0e6c5a8f58d3dcf)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (d7d13ec1d81d2eefd0e6c5a8f58d3dcf)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (d7d13ec1d81d2eefd0e6c5a8f58d3dcf)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-13 15:12:832 INFO  ReasonForTravelPage :39 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (d7d13ec1d81d2eefd0e6c5a8f58d3dcf)] -> xpath: //button[text()='Continue']]
2021-12-13 15:12:906 INFO  ResultPage :35 - Clicking on reason for visit: You will not need a visa to come to the UKYou will not need a visa to come to the UK
2021-12-13 15:12:933 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-13 15:12:250 INFO  StartPage :29 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (a5c22ede9d04b2c3d314b4e6e3a83760)] -> xpath: //a[normalize-space()='Start now']]
